state,filing_status,tax_type,rate,minimum
United States,SINGLE,INCOME,0.1,0
United States,SINGLE,INCOME,0.12,9700
United States,SINGLE,INCOME,0.22,39475
United States,SINGLE,INCOME,0.24,84200
United States,SINGLE,INCOME,0.32,160275
United States,SINGLE,INCOME,0.35,204100
United States,SINGLE,INCOME,0.37,510300
United States,MARRIED_JOINTLY,INCOME,0.1,0
United States,MARRIED_JOINTLY,INCOME,0.12,19400
United States,MARRIED_JOINTLY,INCOME,0.22,78950
United States,MARRIED_JOINTLY,INCOME,0.24,168400
United States,MARRIED_JOINTLY,INCOME,0.32,312450
United States,MARRIED_JOINTLY,INCOME,0.35,408200
United States,MARRIED_JOINTLY,INCOME,0.37,612350
United States,MARRIED_SEPARATELY,INCOME,0.1,0
United States,MARRIED_SEPARATELY,INCOME,0.12,9700
United States,MARRIED_SEPARATELY,INCOME,0.22,39475
United States,MARRIED_SEPARATELY,INCOME,0.24,84200
United States,MARRIED_SEPARATELY,INCOME,0.32,160275
United States,MARRIED_SEPARATELY,INCOME,0.35,204100
United States,MARRIED_SEPARATELY,INCOME,0.37,306175
United States,HEAD_OF_HOUSE,INCOME,0.1,0
United States,HEAD_OF_HOUSE,INCOME,0.12,13850
United States,HEAD_OF_HOUSE,INCOME,0.22,52850
United States,HEAD_OF_HOUSE,INCOME,0.24,84200
United States,HEAD_OF_HOUSE,INCOME,0.32,160700
United States,HEAD_OF_HOUSE,INCOME,0.35,204100
United States,HEAD_OF_HOUSE,INCOME,0.37,510300
Alabama,SINGLE,INCOME,0.02,0
Alabama,SINGLE,INCOME,0.04,500
Alabama,SINGLE,INCOME,0.05,3000
Alabama,MARRIED_JOINTLY,INCOME,0.02,0
Alabama,MARRIED_JOINTLY,INCOME,0.04,1000
Alabama,MARRIED_JOINTLY,INCOME,0.05,6000
Alaska,SINGLE,INCOME,0,0
Alaska,MARRIED_JOINTLY,INCOME,0,0
Arizona,SINGLE,INCOME,0.0259,0
Arizona,SINGLE,INCOME,0.0288,10602
Arizona,SINGLE,INCOME,0.0336,26501
Arizona,SINGLE,INCOME,0.0424,53000
Arizona,SINGLE,INCOME,0.0454,158996
Arizona,MARRIED_JOINTLY,INCOME,0.0259,0
Arizona,MARRIED_JOINTLY,INCOME,0.0288,21202
Arizona,MARRIED_JOINTLY,INCOME,0.0336,53000
Arizona,MARRIED_JOINTLY,INCOME,0.0424,105998
Arizona,MARRIED_JOINTLY,INCOME,0.0454,317990
California,SINGLE,INCOME,0.01,0
California,SINGLE,INCOME,0.02,8223
California,SINGLE,INCOME,0.03,19495
California,SINGLE,INCOME,0.04,30769
California,SINGLE,INCOME,0.08,42711
California,SINGLE,INCOME,0.093,53980
California,SINGLE,INCOME,0.103,275738
California,SINGLE,INCOME,0.113,330884
California,SINGLE,INCOME,0.123,551473
California,SINGLE,INCOME,0.133,1000000
California,MARRIED_JOINTLY,INCOME,0.01,0
California,MARRIED_JOINTLY,INCOME,0.02,16446
California,MARRIED_JOINTLY,INCOME,0.04,38990
California,MARRIED_JOINTLY,INCOME,0.06,61538
California,MARRIED_JOINTLY,INCOME,0.08,85422
California,MARRIED_JOINTLY,INCOME,0.093,107960
California,MARRIED_JOINTLY,INCOME,0.103,551476
California,MARRIED_JOINTLY,INCOME,0.113,661768
California,MARRIED_JOINTLY,INCOME,0.123,1000000
California,MARRIED_JOINTLY,INCOME,0.133,1074996
